plate,legal,personalize,meaning
BATBOX1,0,1,BOX
BBOMBS,0,1,BOMBS
BEACHY1,0,1,BEACHY LOOKS LIKE BITCHY 1
BLK PWR5,0,1,BLACK POWER
BOT TAK,0,1,CAN NOT TRANSLATE
CHERIPI,0,1,CHERRY PIE
CIO FTW,0,1,FUCK THE WORLD
DAVES88,0,1,88 HITLER REFRENCE
DMOBGFY,0,1,MOB
DOITFKR,0,1,DO IT FUCKER
EGGPUTT,1,1,SLANG FOR FAT GUY PER URBAN DICTIONARY
F DIABDZ,0,1,FUCK DIABETES
FJ 666,1,1,666 EVIL
FKK OFF,0,1,FUCK OFF
FKN BLAK,0,1,FUCKING BLACK
FLT ATCK,0,1,FLAT ATTACK
F LUPUS,0,1,FUCK LUPUS
HVNNHEL,1,1,HEAVEN AND HELL
H8DES,0,1,HATE DES
KISMI S,0,1,KISS MY ASS
LHGLA88,0,1,88 HITLER REFERENCE
MMA515O,1,1,5150 CRAZY
MTN SCAT,0,1,SCAT SHIT
OAK KLAN,0,1,KLAN
PORKS15,0,1,PORKS PIG
POT POM,0,1,POT
PSYCDVA,0,1,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHIC
PSYKD,0,1,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHED
ROBO 911,0,1,911 EMERGENCY
SHTYMNI,0,1,SHITTY MINI
1MONGO,0,1,LOOKS LIKE MONGOL THE MOTORCYCLE GANG
173D82D,1,1,CAN NOT TRANSLATE
67 PINK,0,1,PINK
707IRON,0,1,707 AREA CODE
MI HYNA,0,1,GANGSTER GIRL OR CHOLA
DAD$PP,0,1,PP AS IN URINE
GAMMI$G,1,1,G AS IN GANGSTER
G$DSKK,1,1,G AS IN GANGSTER
CAN BITE,0,1,CAN BITE
FRESD18,0,1,18 HITLER
KILLAHB,0,1,KILLAH B
KILLAHW,0,1,KILLA
NO GAS X,1,1,GAS
TTNISMO,1,1,TT AS IN BREAST
1FD MOM,0,1,FD LOOKS LIKE EFFED
88 VERT,0,1,88 HITLER REFERENCE
HB 707,0,1,707 AREA CODE
ELIKA13,0,1,13 GANG REFERENCE
BAD FN68,0,1,BAD FUCKIN 68
BRUJO 13,0,1,13-GANG
C4 MILES,0,1,SEE FOR MILES… C4-BOMB
DAAFAK,0,1,THE FUCK
DATT ASS,0,1,THAT ASS
DNKY PCH,0,1,DONKEY PUNCH
FCUK BOI,0,1,FUCK BOY
F OMG,0,1,FUCK OH MY GOD
FSH BALL,0,1,FISH… BALL… SOME SORT OF SEXUAL?
LCPSY18,0,1,18-HITLER
LILBLKB,0,1,LIL BLACK BITCH? LAST NAME IS BLACK
LYFISHT,0,1,LIFE IS SHIT
MZ MOLY,0,1,MOLLY…. ECSTASY
NAVA 14,0,1,14-HITLER
OG PLAY,0,1,OG
OG RICE,0,1,OG
OPNWIDE,0,1,"SEXUAL? OPEN LEGS, OPEN MOUTH?"
OR DX,0,1,OR DICKS
OVOGANG,0,1,GANG
RAJO42O,0,1,420-WEED
RJ X 88,0,1,88-HITLER
RMBO562,0,1,562 CUSTOMERS AREA CODE
ROAK14,0,1,14-HITLER
RSPEC13,0,1,13-GANG
UBRS 51O,0,1,510 CA AREA CODE
VTARDED,0,1,TARDED… RETARDED?
YBEAZZY,0,1,BEEZY. BITCH
YR ONE69,0,1,COULDN'T VERIFY 1969
2BUCK U,0,1,TO FUCK YOU? BUCK YOU-HIT YOU?
619 BSBL,0,1,619 CA AREA CODE
69TRIKE,0,1,COULDN'T VERIFY 1969
13$GRAM,0,1,13-GANG
GIGGEDY,0,1,INNUENDO
H84BY4Z,0,1,HATE
MRDRVAN,0,1,MURDER VAN
TOPNUGS,0,1,NUGS-WEED
U 2 HIGH,0,1,ON DRUGS?
2BG NUGZ,0,1,NUGS-WEED
BBONGCO,0,1,BONG IS SOMETHING YOU SMOKE MARIJUANA IN
F1OO183,0,1,OLD PLACARD NUMBER
RBN 88,0,1,88-HITLER RELATED
REDLYNE,1,1,RED GANG COLOR
14 FLEX,0,1,14-HITLER RELATED. NO 2014
69CRZIN,0,1,NO 69 CAR
IH8IED,0,1,HATE-? IED-IMPROVISED EXPLOSIVE DEVICE. VET PLATE
CRPLHLR,0,1,CRIPPLE HEALER?
CRPPL4X,0,1,CRIPPLE? SAME GUY AS ABOVE
A QUIKI,0,1,"A QUICKY, SEX"
BTCNBLK,0,1,BITCHIN BLACK
GAZ1969,0,1,NO 1969 VEHICLE
HAWT DAM,0,1,HOT DAMN
LDYNBLU,1,1,LADY IN BLUE. GANG COLORS?
MH8SH18,0,1,18-HITLER
STFUDNY,0,1,SHUT THE FUCK UP
TINAS 7O,0,1,COULDN'T VERIFY TINA OR A 1970 VEHICLE
WUSUP B,0,1,WHATS UP BITCH. CUSTOMER IS BRIAN
HILDA14,0,1,14-HITLER
FAT NUT,0,1,LARGE EJACULATION
BITZPLZ,0,1,BITCH PLEASE
CLNASFK,0,1,CLEAN AS FUCK
HUNTMOM,0,1,HUNT MOM. HUNTER'S MOM?
NOTARY G,0,1,G
WHS 18,0,1,18-HITLER
WTF BYE,0,1,WHAT THE FUCK.
FUMONEY,0,1,FUCK YOU MONEY
BUTCH B,0,1,LOOKS LIKE BUTCH BITCH
FUNKLFE,1,1,LOOKS LIKE FUCK LIFE
GABECAT,0,1,"NO VEHICLE SHOWN IN ANI FOR HELLCAT, OR JAG ETC"
HEMICYD,0,1,LOOKS LIKE HOMICIDE
HIGHBOI,0,1,LOOKS LIKE HIGH AS IN ON DRUGS
LH 562,0,1,562 AREA CODE
LUV VAN,0,1,LOVE  VAN CAN BE A VAN USED FOR SEX
N5A1BOT,0,1,510 AREA CODE
OG HCAT,0,1,OG AS IN ORIGINAL GANGSTER
OTLAW 1,0,1,OUTLAW AS IN GANGSTER
OUTHOUS,1,1,AN OUT HOUSE IS USED FOR USING THE RESTROOM
SAABNUT,0,1,SAAB NUT.. SAAB IS A CAR NUT CAN BE SEXUAL OR CAN MEAN CRAZY
SIX5O,1,1,650 AREA CODE
SIX6XI,1,1,666 MARK OF THE BEAST THE DEVIL EVIL
STR8 KLS,0,1,STRAIGHT KILLS
SUPR POO,0,1,SUPER POO
XO1OHO,0,1,HO LOOKS LIKE HOE
1DOPE S5,1,1,DOPE COULD MEAN NICE OR BE A DRUG REFERENCE
4O8RD8R,0,1,408 RAIDER
5HUNWYS,1,1,500 HUNDRED WAYS
7O7 PLUS,1,1,707 AREA CODE
8 USC 8,0,1,88 HITLER REFERENCE
GAYMUR,1,1,LOOKS LIKE HE IS SAYING GAMER BUT HE IS USING GAY.. COULD BE TAKEN OFFENSIVLY
MF$TGAR,0,1,MF LOOKS LIKE MOTHER FUCKER
$R TOES,1,1,LOVE HER TOES
14$ETTA,0,1,14 GANG REFERENCE NO 2014 ON RECORD
HDST76O,0,1,760 AREA CODE
H8TZRS,0,1,H8 LOOKS LIKE HATE
PLBY73,0,1,"PLAYBOY… PLAYBOY IS A SEX MAGAZINE HOWEVER THE ""PLAYBOY"" HAS A RETENTION RECORD"
BUNTA F,0,1,ANAL RAPE PER URBAN DICTIONARY
G DOG,0,1,G AS IN GANGSTER
IYAOYAS,0,1,IF YOU AINT ORDINANCE YOU AINT SHIT.. A MILITARY TERM
KISNKUZ,0,1,KISSING COUSINS
LJEFFE,0,1,EL JEFE THE BOSS
OG SWAG,0,1,ORIGINAL GANGSTER SWAG
PULLN 14,1,1,14 CUSTOMER DOES HAVE A 2014 GMC
REDROCK,1,1,RED
SHAFFED,0,1,"CUSTOMER LAST NAME IS SHAFFER, BUT SHAFT IS ANOTHER WORD FOR PENIS"
SHZAKLA,0,1,SHE'S A KILLA
2 BLUE IZ,1,1,BLUE
OG RIDE,0,1,ORIGINAL GANGSTER RIDE
AKK47,0,1,LOOKS LIKE AK 47 AS IN GUN
AO2M96,0,1,LOOKS LIKE OLD AUTO
BGD W211,0,1,211 AS IN ROBBERY
BJ GRND,0,1,BJ GRIND.  BLOW JOB GRIND IS A SEXUAL REFERENCE
DGAFLOL,0,1,DON’T GIVA A FUCK LAUGH OUT LOUD
DGAF247,0,1,DON’T GIVE A FUCK 24/7
GMS 14,0,1,14 GANG REFERENCE
GRWN DED,0,1,DEAD
JESSBOX,0,1,BOX
KAT KOCH,0,1,CAT COACH
LARA 8O5,0,1,805 AREA CODE
LIL515O,1,1,5150 CRAZY
MOCHOMO,0,1,"MEXICAN DRUG LORD ""THE DESSERT ANT"""
MY7OCUT,1,1,CUT COULD MEAN CUTLASS OR CUT IS A SEXUAL REFERENCE
NECIA 88,0,1,88 HITLER REFERENCE
OFFCR HI,0,1,HI OFFICER
OLD BS,0,1,BS BULL SHIT
PZA TACO,0,1,TACO
RICH KAT,0,1,RICH CAT.. EXPENSIVE CAT
SHUFTSH,1,1,SHOE FETISH
TERCA88,0,1,88 HITLER REFERENCE
THUGLYG,0,1,THE UGLY F.. NOT SURE WHAT THE F MEANS
WOR HORS,0,1,WAR WHORES.. WORK HORSE
WSIXVTY,0,1,LOOKS LIKE 650 AREA CODE
YYMAN 69,0,1,MAN 69
ZEROFCK,0,1,O FUCKS
13 N144E,0,1,13 GANG REFERENCE
3KS N 1E,0,1,3KS LOOKS LIKE KKK
8 BZI 8,0,1,88 HITLER REFERENCE
8DIAZ13,0,1,13 GANG REFERENCE
88JOY88,0,1,HITLER REFERENCE
STOGIE,1,1,STOGIE IS A CIGAR
AIRS$FT,0,1,AIRSOFT SHOOTING
I$MYAR,0,1,I LOVE MY AR AR RIFLE
VAGIN$R,0,1,VAGINA LOVER
3&14 PI,0,1,PIE 14 GANG REFERENCE
RMPSSI,0,1,PSSI LOOKS LIKE PUSSY
AHHBLUE,1,1,BLUE
BENDEJO,0,1,PENDEJO CURESE WORD IN SPANISH
BYTE ME2,1,1,BITE ME TOO
COJONIS,0,1,THIS LOOKS LIKE THE SPANISH WORK COJONES
EXCON,0,1,EX CON
GTSGTFO,0,1,GTFO GET THE FUCK  OUT
ISISCAR,0,1,ISIS CAR
PSI DOC,0,1,PUSSY DOCTOR
S14 97,0,1,14 GANG REFERENCE
TN7,0,1,LOOKS LIKE TNT
URDUNN4,0,1,YOURE DONE FOR
3100 BLK,0,1,3100 BLOCK
BLUSHRK,1,1,BLUE
GOFUKIT,0,1,GO FUCK IT
CHRG4PS,0,1,LOOKS LIKE CHARGE FOR PS… NOT SURE WHAT PS MEANS
BLK88BZ,0,1,88-HITLER. BIRTH YEAR VERIFIED AS '88
BUIOO13,0,1,13-GANG
ENOX 13,0,1,13-GANG
IBD88,0,1,88-HITLER. INITIALS VERIFIED
KB 88 RV,0,1,88-HITLER
M 65O V,0,1,CUSTOMERS MOUNTAIN VIEW AREA CODE
PDCC42O,0,1,420- WEED
87O,0,1,A TYPE OF REMINGTON GUN
BDAZTKR,0,1,BADASS TRUCKER
HLNAUSS,0,1,HAULIN ASS
S14 BLK,1,1,14-HITLER
88 CAB,1,1,88-HITLER. HAS AN '88 PORSCHE
AENIMA,0,1,CUSTOMER MEANING IS TRUE BUT LOOKS AND SOUNDS LIKE ENEMA
ALDRG59,1,1,ALL DRUG (CUSTOMER LAST NAME IS ALLDREDGE)
AMFZB24,0,1,AMF=ADIOS MOTHERFUCKER
BADBASS,0,1,BASS OR ASS
BAD MTF,0,1,"BAD MOTHERFUCKER, HAS A 57 CHEVY"
BEAR4SS,0,1,"BEAR OR BARE ASS, DOES HAVE A 2010  CHEVY"
BIG D XB,0,1,"BIG D=BIG DICK, CUSTOMER NAME IS DENNIS"
BJS4DDS,0,1,BLOW JOBS FOR DENTAL WORK… CUSTOMER IS BRIAN J SAMUELS
BLKKTZE,1,1,BLACK CATS? PULLED FOR CAT=PUSSY
BLU PNY,1,1,BLUE=GANG COLOR. HAS 2016 FORD
BONE BZ,0,1,BONE=SEX
BROK3 AF,0,1,BROKE AS FUCK
CABIN 5O,1,1,50=police
CAULGUY,0,1,CUSTOMER MEANING IS TRUE BUT SOUNDS LIKE 'CALL GUY'… CALL GIRL WOULD BE A PROSTITIUTE
CDA14,1,1,"HAS 2014 CHEVY, 14 CAN BE HATE SYMBOL"
CHIHOE,0,1,"PULLED FOR HOE, THIS IS HIS REAL FIRST NAME"
CICARIO,0,1,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH
CLD SQD,0,1,COLD SQUAD IS A POLICE TV SHOW
CPSLO 13,1,1,"13 CAN BE A GANG NUMBER, NO 2013 CAR"
DAYGO13,0,1,"DAGO=SLUR AGAINST ITALIANS, 13=GANG NUMBER, NO 2013 CAR"
DRG DADY,0,1,DRUG DADDY
DRTY SXO,0,1,DIRTY SEX (SEXO=SEX IN SPANISH)
DSCHBAG,0,1,DOUCHEBAG
EAT CHIA,1,1,EAT
EVOWEVO,0,1,"WEVO=HUEVO, CAN MEAN EGG OR TESTICLE"
FATAL41,0,1,FATAL IS SOMETHING THAT KILLS YOU
FATTO 1,0,1,IT IS A SONG. COULD BE INSULTING IN ENGLISH
FATTO 2,0,1,IT IS A SONG. COULD BE INSULTING IN ENGLISH
FED S 69,0,1,no 69 car on ani
FRD EETR,0,1,EAT
F TESLA,0,1,FUCK TESLA
FTG GCG,0,1,FTG=FUCK THE GUARD (COASTGUARD) OR GOVERNMENT…
FUQYOU1,0,1,FUCK YOU
GASPASR,0,1,"GAS PASSER, SHE PASSES GAS (FARTS)"
GD 818,0,1,818=LOS ANGELES AREA CODE
GETATME,1,1,"GET AT ME, SEXUAL?"
GOBALLA,0,1,"GO BALLER, CUSTOMER LAST NAME IS BALLA"
GO G MEN,1,1,"G-MAN SHORT FOR GOVERNMENT MAN, MEANS AN FBI OR CIA AGENT"
GSGOMG,1,1,GSG=GUNSLINGER GIRL (ANIME) PER ACRONYM FINDER.
GTUMBLR,1,1,pulled for g (gangster) ani does show a MBZ 2016 could be a G Class
GUN ACE,0,1,gun
GURUJP,0,1,"JAP? NO JEEP ON ANI, HAS HONDA"
HALF333,1,1,333 IS HALF OF 666
HALF666,1,1,PULLED FOR REVIEW OF 666 (SAME CUSTOMER AS HALF333)
HAMMER H,0,1,HAMMER=PENIS
HAMMERS,0,1,HAMMER=PENIS
HELGRRR,1,1,"pulled for Hell, no Hellcat. Has a VW"
HJ 4G,0,1,G=GANGSTER
JEFITA,1,1,"we pull jefe=chief, gang boss. Jefita=little woman chief. Could be slang for mom per urban dictionary"
KATITUD,0,1,"NO JAGUAR ON ANI, CAT=PUSSY"
KUCH,0,1,SOUNDS LIKE 'COOCH' WHICH IS SLANG FOR VAGINA
LIT FAM,0,1,LIT CAN MEAN HIGH OR VERY INTOXICATED
