plate,legal,personalize,meaning
1TWIN,1,1,
11VROD,1,1,
4SKNMC,1,1,
7IRON6,1,1,
FINALI,1,1,
GOKEY,1,1,
TLR,1,1,
TRM,1,1,
G1DBE,1,1,
UBPHD,1,1,
CCNMO,1,1,
CEF1A1,1,1,
VSPA,1,1,
WS28,1,1,
DASH2,1,1,
ELIE,1,1,
2CHARM,1,1,
2TWINS,1,1,
K2JFK,1,1,
4LOU4,1,1,
4LUCK,1,1,
77OH7,1,1,
ML350,1,1,
MMFP,1,1,
MOYER,1,1,
NIPA,1,1,
NYVP2,1,1,
NYY347,1,1,
PR1999,1,1,
PURR,1,1,
AACVI,1,1,
ABL34,1,1,
SJPCADET,1,1,
SKINSCHL,1,1,
SKOERTS,1,1,
EZEL07,1,1,
SLOVE,1,1,
SMOVADO,1,1,
ALL4RISA,1,1,
SONIDO1,1,1,
ALWL,1,1,
AMTF168,1,1,
SPYGURL,1,1,
FEARJAH,1,1,
ARMYNG,1,1,
FLASHBK2,1,1,
FORDPOWR,1,1,
A75,1,1,
A752,1,1,
BABYEVO,1,1,
F1LEONE,1,1,
BAM641,1,1,
TCAP,1,1,
TECHNK,1,1,
BELCOO,1,1,
BENNICK,1,1,
GOAUBRN,1,1,
GPASLV,1,1,
TOOHAPPY,1,1,
TRACKER6,1,1,
GTA1989,1,1,
TTRBO7,1,1,
BPILLA,1,1,
TWICKS,1,1,
CAELA,1,1,
UTOG134,1,1,
HI5NY,1,1,
CAMLOT13,1,1,
CAMLOT14,1,1,
VALDIZON,1,1,
VEENDAM,1,1,
VERGASER,1,1,
HOTGTR,1,1,
CCCNY,1,1,
CEYLON1,1,1,
VRAJ,1,1,
CKG,1,1,
ILVYRKES,1,1,
IMSPRTCS,1,1,
COOLMYK,1,1,
COYOTEHP,1,1,
CULTR,1,1,
JAGSS100,1,1,
XTOPHERX,1,1,
XXFJXX,1,1,
JAZZ4CB,1,1,
DANYJETS,1,1,
YUHAN1,1,1,
JGG1,1,1,
JISJR,1,1,
DERJAGER,1,1,
JML28,1,1,
DINOGT,1,1,
JNGLLND,1,1,
DLW810,1,1,
JS8888,1,1,
1KMCSBC2,1,1,
JUGHEAD,1,1,
JUPITER,1,1,
1RMP,1,1,
1STRNGBW,1,1,
DRYBSMT,1,1,
KAHRAMN2,1,1,
KANITAT,1,1,
DURWOOD,1,1,
143EET,1,1,
2BONAIRE,1,1,
ELITE151,1,1,
EMPERORI,1,1,
KYRILESN,1,1,
LAKELUV2,1,1,
LANDY,1,1,
LAX09,1,1,
302UTOG,1,1,
LLUVS71,1,1,
LOLA240,1,1,
4UU2NV,1,1,
479SWIM,1,1,
5HAGS,1,1,
LUVARTS,1,1,
LUVMIBYS,1,1,
LUVODIE,1,1,
5836PN,1,1,
LYRIX,1,1,
MAGGIEE,1,1,
67XKEJAG,1,1,
MANGANO1,1,1,
69SBEST,1,1,
70NOVA,1,1,
8ARORA8,1,1,
81CAMZ28,1,1,
926KVP,1,1,
MJPAJP,1,1,
MORT1MER,1,1,
MS556,1,1,
MTNB1KER,1,1,
NILSENLA,1,1,
NSTYCHIC,1,1,
OLYMPICS,1,1,
OMALLEYS,1,1,
PARLOR,1,1,
PFD3,1,1,
PHILZ8,1,1,
PROCPA,1,1,
RAILS4U,1,1,
RB27,1,1,
RDSPIKE2,1,1,
REF1031,1,1,
RJBCIB,1,1,
RMPH,1,1,
RONNIE07,1,1,
RONNY2,1,1,
ROTT,1,1,
SCORD,1,1,
SETT,1,1,
SHOWLS6,1,1,
SHP,1,1,
BM750,1,1,
LENGED,1,1,
GOHST,1,1,
GREENN,1,1,
C3LT1C,1,1,
DIAVEL,1,1,
ADC824,1,1,
AX6898,1,1,
GALTEK,1,1,
TINMTH,1,1,
TONI1,1,1,
CARDLR,1,1,
JROSED,1,1,
JS550,1,1,
MCB6,1,1,
NINA64,1,1,
PLMBR,1,1,
PLMBR1,1,1,
PLMBR2,1,1,
PM822,1,1,
SASHA2,1,1,
AAANY20,1,1,
SJOCOA,1,1,
ADKS46R,1,1,
EXORCZED,1,1,
SLIMSSON,1,1,
SMALL,1,1,
SMKESHCK,1,1,
AKOG,1,1,
ALBIN502,1,1,
ALISHA2,1,1,
AMDSRVS1,1,1,
FBJARA,1,1,
FIRYMANE,1,1,
SUEMALL,1,1,
AURAVOIR,1,1,
BACK268,1,1,
FYAWORKS,1,1,
F7RUNS9S,1,1,
BEEGEES,1,1,
THECEPH,1,1,
GOD4GIV,1,1,
BJD17,1,1,
GONRACIN,1,1,
GOOLDO,1,1,
TONGORE,1,1,
BLUBOMBR,1,1,
BOOLIEXO,1,1,
BREAKAWY,1,1,
BSAIN,1,1,
UBUNTU,1,1,
BUBBL3S,1,1,
HIBERNIA,1,1,
HND2HND2,1,1,
VIPER08,1,1,
VITA1,1,1,
VMVC,1,1,
HVACPROF,1,1,
IAMA55,1,1,
IGOTAHMR,1,1,
WHYPAVE,1,1,
WLYMKYDK,1,1,
WVLIET1,1,1,
JAG7,1,1,
YEROOOOO,1,1,
YESNAMEN,1,1,
JETSBABE,1,1,
DEC4,1,1,
ZESA,1,1,
ZGR62,1,1,
DERSH,1,1,
JOLENA78,1,1,
1HEDWIG1,1,1,
10BUCK,1,1,
10MJS,1,1,
DVSMITH,1,1,
1939MRB,1,1,
EKX0001,1,1,
KJP3,1,1,
ELITE148,1,1,
2WINMOM,1,1,
K3YBORDS,1,1,
2210GO,1,1,
LADYBUGH,1,1,
30YRNOUT,1,1,
4BIGK9S,1,1,
LMBS,1,1,
LNDNCOVE,1,1,
LOWONAIR,1,1,
5F501,1,1,
59FC,1,1,
MARYNEL,1,1,
71CHVYSS,1,1,
73NOV,1,1,
74KATHYJ,1,1,
74KISS,1,1,
MIZTRESS,1,1,
MLEWIS,1,1,
MLKNCKEZ,1,1,
MOOVIN,1,1,
MPCC2,1,1,
MX793,1,1,
MY3CHOWS,1,1,
NASTYC5,1,1,
NOIRCAR,1,1,
NYL1,1,1,
N3VRL8,1,1,
OEM3STAR,1,1,
ONDATOWN,1,1,
PJSMILES,1,1,
PMS366,1,1,
POPOLI4,1,1,
PROFETTA,1,1,
PSCH141,1,1,
PSH2LMT,1,1,
RALPHEEE,1,1,
RAMNA,1,1,
RBL65,1,1,
REEVER,1,1,
REGGIEC,1,1,
ROMANN,1,1,
RRTRAINS,1,1,
RXWL,1,1,
SCAP1,1,1,
SCRFF,1,1,
JP1,1,1,
BANDBOX,1,1,
BOBTERY,1,1,
9COUNTY,1,1,
PAULNY,1,1,
SPIKES,1,1,
SY5688,1,1,
GREEN3,1,1,
HAULER,1,1,
IOUAA,1,1,
ELLIES,1,1,
69TRY,1,1,
PHX14,1,1,
SING3R,1,1,
SMUSH,1,1,
ARLEN4,1,1,
BIGSKY,1,1,
GOBDGR,1,1,
BO5TON,1,1,
VELINA,1,1,
H27HM3,1,1,
CHICKN,1,1,
YY6068,1,1,
JOANEY,1,1,
K9FRED,1,1,
33HAS,1,1,
LOLA10,1,1,
6281TD,1,1,
MBZ,1,1,
MONA19,1,1,
MP888,1,1,
MVPDAD,1,1,
MYKAL2,1,1,
MYNYYS,1,1,
SETTER,1,1,
AA8888,1,1,
SILLYMOM,1,1,
SIRJ,1,1,
ACURAFAN,1,1,
SJOCOA2,1,1,
AFCJETS,1,1,
SOONASTY,1,1,
FAST111S,1,1,
SPIRALZ,1,1,
FCS105,1,1,
FD142,1,1,
ANKURA,1,1,
FILAMS,1,1,
STAIRON,1,1,
STANG98,1,1,
SUMMR79,1,1,
AVA,1,1,
SUNNY104,1,1,
SUNNY105,1,1,
SUNNY106,1,1,
SUNNY107,1,1,
SUNNY108,1,1,
SUNNY109,1,1,
SUNNY110,1,1,
SUNNY111,1,1,
SUNNY113,1,1,
SUPERSTA,1,1,
FPIII,1,1,
FRSTTRX,1,1,
SXYDRB,1,1,
S1CKBRO,1,1,
BARNALA,1,1,
TAKITEZ,1,1,
BBQ911,1,1,
TATTUD3,1,1,
TAYLER,1,1,
GEORGIST,1,1,
BERVWIN,1,1,
THEHATT,1,1,
THEOTIS1,1,1,
THEOTIS2,1,1,
BILEGOAT,1,1,
TK1,1,1,
TMEUP,1,1,
BLESSIAM,1,1,
BLS501,1,1,
TORFACE,1,1,
BNDT79,1,1,
GRVSTN,1,1,
GR1M3Y,1,1,
BORN2ROK,1,1,
GTRUS,1,1,
GUTFISH,1,1,
BRILYN,1,1,
TUURBO,1,1,
BRS31,1,1,
HACKIE,1,1,
BTRUTH,1,1,
BUDGRL29,1,1,
BUFBILLS,1,1,
HATZOLA,1,1,
UNOUCME,1,1,
USAGEN,1,1,
VG356,1,1,
VINNYS69,1,1,
CFP4MDS,1,1,
CFUNRLHM,1,1,
CHEVYHD,1,1,
IAMTHIAM,1,1,
WAHHHHHH,1,1,
WALPPR4U,1,1,
CHUXTANG,1,1,
ICOOLYOU,1,1,
CIAOORSO,1,1,
IFD146,1,1,
ILT,1,1,
COLELLA1,1,1,
CORAX,1,1,
INSKI,1,1,
INTA028,1,1,
IROCLI87,1,1,
WSA,1,1,
WYZGUY2,1,1,
W1TCHGRL,1,1,
CTVETTE,1,1,
JAZZLUVR,1,1,
JBURDEN,1,1,
DC135K9,1,1,
DDSROSE,1,1,
JG194,1,1,
ZANY,1,1,
ZARCONE4,1,1,
ZOPOUL21,1,1,
DHFDC,1,1,
ZZZU,1,1,
0101KIE,1,1,
03PICKUP,1,1,
1CEL,1,1,
DNTBEMAD,1,1,
DOCSGT,1,1,
1FB299,1,1,
1MAKO1,1,1,
JUDYTHE1,1,1,
DRCEO,1,1,
KAMARA1,1,1,
KAM371AN,1,1,
112SNT,1,1,
12JANET,1,1,
KDMORT1,1,1,
EGC42,1,1,
1971CJL,1,1,
ELG77,1,1,
ELITE077,1,1,
2CQVBS,1,1,
ELITE93,1,1,
EMJS12,1,1,
K1LLINIT,1,1,
223REM,1,1,
24JEFFGO,1,1,
LAXBOYS,1,1,
3B10,1,1,
LEARCAPT,1,1,
3KDZ4ME,1,1,
LILQTEE,1,1,
4JEHOVA,1,1,
LMPRO1,1,1,
LMPRO3,1,1,
LODGE911,1,1,
41WOODIE,1,1,
LPFAIRIE,1,1,
5WALLEYE,1,1,
LUVMYTL,1,1,
55RAGTP,1,1,
LVGRNMA,1,1,
550BEAST,1,1,
57CADLAK,1,1,
57DF,1,1,
63TJC,1,1,
65STNGRY,1,1,
8DDS43,1,1,
MEB08,1,1,
82X,1,1,
MELBILL2,1,1,
84FUEGO,1,1,
MINIME8,1,1,
MJGSRIDE,1,1,
MMARRA,1,1,
MOMSRIDE,1,1,
MPAND3,1,1,
MRMIKEB,1,1,
MRSKYWY,1,1,
MYLOS,1,1,
NCRSLOL,1,1,
NEGRO63,1,1,
NUZZICE,1,1,
NUZZICE2,1,1,
NY92,1,1,
OJTDAD,1,1,
ONAMBIT,1,1,
ONEHOTG,1,1,
PHOEBE07,1,1,
PIRSQD,1,1,
PJTEN,1,1,
PMSJAG,1,1,
POMPOM1,1,1,
PONY4,1,1,
P1AYTING,1,1,
RADHEMI,1,1,
RALPH98,1,1,
RCYCLDVW,1,1,
REA11Y,1,1,
REIKI,1,1,
RICKYBR,1,1,
ROKMC66,1,1,
ROMEO70,1,1,
ROMO9,1,1,
SANIN03,1,1,
SBHPREK,1,1,
SCOTBOY,1,1,
SHAGGY,1,1,
SHATTY,1,1,
SHVLED,1,1,
TMFB2,1,1,
AF2O,1,1,
GAMMY7,1,1,
TES2,1,1,
GLNYS,1,1,
TRUNY,1,1,
CISCO,1,1,
IJETSI,1,1,
YASMIN,1,1,
K2PMT,1,1,
MAYAH1,1,1,
NYFT,1,1,
NYSGL,1,1,
N2XHB,1,1,
RIPCMM,1,1,
AEIMPY,1,1,
E1SH,1,1,
SLOBARU,1,1,
ALARMBIZ,1,1,
ALLINN,1,1,
AMK11,1,1,
FEJNGL44,1,1,
STALAN5,1,1,
FIRSTRAX,1,1,
FITCHIKK,1,1,
ARROWS2,1,1,
FONG1,1,1,
SUNFLOWR,1,1,
AV8RSR8,1,1,
AWSMSON,1,1,
A05,1,1,
A8887,1,1,
GALILEO,1,1,
GEORGES1,1,1,
GGHESQ,1,1,
THDOODLE,1,1,
THIALINA,1,1,
TJTJ,1,1,
BIOYA,1,1,
BIRDMANN,1,1,
BKSLATE,1,1,
BLAKCROS,1,1,
BLMEDOWN,1,1,
GRENFOWL,1,1,
GRFD25,1,1,
TRAMPART,1,1,
BONAROOO,1,1,
TVLAND,1,1,
UC411,1,1,
HEFFRON,1,1,
HEPCATS,1,1,
HJKDDS,1,1,
VCTYNJES,1,1,
HOOOKERR,1,1,
VINTNER,1,1,
CEEJAYZ,1,1,
CGASDA,1,1,
V8BAIT,1,1,
IFISHVT,1,1,
CITOMIMI,1,1,
CLIMBER1,1,1,
WELNES4U,1,1,
CMRGHR,1,1,
IMJF16,1,1,
WINDNYC,1,1,
ISABEL56,1,1,
CSL342,1,1,
I300CI,1,1,
CWEST,1,1,
DADLUVYA,1,1,
JAYNE1,1,1,
JEROR,1,1,
DDSKIDS,1,1,
JIMS66,1,1,
DEVOE1,1,1,
ZMDBZ,1,1,
ZORADORA,1,1,
DIBRAN,1,1,
JONY99,1,1,
1BADBOB,1,1,
DMJ87GN,1,1,
DNM0823,1,1,
JPM829,1,1,
1EFA,1,1,
1FINE35,1,1,
1GR8G8,1,1,
DOORMAKR,1,1,
1MOT1ME,1,1,
DRACONS,1,1,
1STDAD09,1,1,
KADIJOY,1,1,
DUHUNTR,1,1,
KAR120,1,1,
KATHY9,1,1,
KD11422,1,1,
EARSK9,1,1,
1983Z28,1,1,
EMSRIDE,1,1,
2PLUS4KD,1,1,
K9CRSR,1,1,
4EVRSAIL,1,1,
4JTNME,1,1,
LUVHARLY,1,1,
6BLKICE6,1,1,
6ISH,1,1,
MAKEMORE,1,1,
MASAGEU,1,1,
